what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317993599080
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317993600797
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317993602123
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317993606383
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317993608385
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1317993609959
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317993612887
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317993672511
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317993674726
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317993708352
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317993710257
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317993715122
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317993716780
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317993718468
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317993720901
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317993721877
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317993725838
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317993728905
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317993732695
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317993734782
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317993738708
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317993741959
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317993747026
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317993752348
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317993753107
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317993753867
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1317993755644
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1317993760353
activated,view,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit.ResultView",1317993765397
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1317993777994
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1317993780771
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1317993791251
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1317993794734
